id,State_Group,State,Year,diabetic,Metformin,pancreas,diabetes,Insulin,cataract,glucose,Diabetes mellitus,Retinopathy,hypoglycemia,diabetes type 2,a1c,neuropathy,diabetes symptoms,Income,Insurance,Poverty,GT
145,F,TX,‘2014’,70,74,61,82,65,53,71,70,47,61,61,63,54,62,53105,19.1,17.2,11
146,F,UT,‘2014’,56,71,60,84,75,57,72,58,34,76,69,53,67,69,60976,12.5,11.7,7.1
147,F,VT,‘2014’,53,54,65,75,75,65,84,34,33,71,63,83,84,42,54205,5,12.2,7.9
148,F,VA,‘2014’,48,54,49,67,52,49,59,53,33,44,46,54,40,49,64982,10.9,11.8,9.7
149,F,WA,‘2014’,57,56,56,75,67,67,73,48,36,56,62,57,55,63,61426,9.2,13.2,8.9
150,G,WV,‘2014’,98,96,84,99,92,76,99,90,59,82,81,100,100,89,41073,8.6,18.3,14.1
151,G,WI,‘2014’,64,60,67,81,78,68,81,58,47,59,64,56,71,62,52709,7.3,13.2,9
152,G,WY,‘2014’,54,84,100,84,81,58,70,56,18,97,45,47,66,91,57080,12,11.2,8.4
153,A,AL,‘2013’,80,89,76,96,83,94,82,54,58,71,93,68,94,86,42849,13.6,18.7,13.8
154,A,AK,‘2013’,39,56,41,83,57,85,73,48,10,54,71,88,38,93,72237,18.5,9.3,7.1
155,A,AZ,‘2013’,62,72,70,84,71,84,77,49,44,77,70,56,81,76,48510,17.1,18.6,10.7
156,A,AR,‘2013’,87,93,81,93,80,98,86,35,83,88,83,75,79,96,40511,16,19.7,11.5
157,A,CA,‘2013’,45,51,62,74,59,67,73,41,50,53,66,51,51,73,60190,17.2,16.8,10.2
158,A,CO,‘2013’,40,61,60,71,65,67,69,37,27,60,64,46,65,74,58823,14.1,13,6.5
159,A,CT,‘2013’,44,57,66,83,71,86,76,40,79,59,71,54,65,66,67098,9.4,10.7,8.3
160,A,DE,‘2013’,60,58,86,98,83,92,93,69,99,71,100,46,71,95,57846,9.1,12.4,11.1
161,B,DC,‘2013’,41,50,43,77,57,61,66,25,44,53,64,64,51,73,67572,6.7,18.9,7.8
162,B,FL,‘2013’,56,72,66,78,67,84,70,54,53,54,68,57,71,71,46036,20,17,11.2
163,B,GA,‘2013’,52,72,58,74,60,60,68,35,44,61,67,62,55,82,47829,18.8,19,10.8
164,B,HI,‘2013’,50,50,71,86,55,81,74,64,75,49,79,52,42,89,68020,6.7,10.8,8.4
165,B,ID,‘2013’,61,86,74,89,93,76,80,68,43,81,89,68,81,90,46783,16.2,15.6,8.4
166,B,IL,‘2013’,49,63,59,77,64,64,71,39,46,58,65,54,58,80,56210,12.7,14.7,9.9
167,B,IN,‘2013’,67,80,78,94,94,78,95,70,52,69,96,68,67,89,47529,14,15.9,11
168,B,IA,‘2013’,61,69,68,88,69,66,82,58,44,71,93,67,66,100,52229,8.1,12.7,9.3
169,C,KS,‘2013’,60,78,66,84,71,55,74,58,41,54,77,81,69,83,50972,12.3,14,9.6
170,C,KY,‘2013’,85,89,80,92,85,73,86,44,72,79,90,93,82,92,43399,14.3,18.8,10.6
171,C,LA,‘2013’,65,92,66,85,79,72,79,53,51,93,82,75,74,95,44164,16.6,19.8,11.6
172,C,ME,‘2013’,56,67,60,97,80,100,78,32,68,78,100,65,75,65,46974,11.2,14,9.7
173,C,MD,‘2013’,53,63,74,91,74,76,85,43,67,61,75,80,66,79,72483,10.2,10.1,9.8
174,C,MA,‘2013’,43,59,66,83,71,71,79,35,65,57,65,64,63,77,66768,3.7,11.9,8.5
175,C,MI,‘2013’,57,65,64,82,73,70,78,51,62,67,68,61,69,79,48273,11,17,10.4
176,C,MN,‘2013’,51,66,71,83,76,75,84,43,60,68,88,69,75,85,60702,8.2,11.2,7.4
177,D,MS,‘2013’,71,79,71,92,67,78,74,79,47,68,75,63,70,93,37963,17.1,24,12.9
178,D,MO,‘2013’,58,72,75,84,79,66,79,45,61,70,77,69,74,97,46931,13,15.9,9.6
179,D,MT,‘2013’,54,56,76,89,88,96,85,100,71,59,71,62,88,76,46972,16.5,16.5,7.7
180,D,NE,‘2013’,55,73,55,92,78,72,76,86,90,55,76,73,74,82,51440,11.3,13.2,9.2
181,D,NV,‘2013’,54,67,56,75,61,66,65,39,59,66,65,54,67,91,51230,20.7,15.8,9.6
182,D,NH,‘2013’,52,55,80,86,69,86,89,50,87,65,64,54,64,78,64230,10.7,8.7,9.2
183,D,NJ,‘2013’,47,59,62,83,65,79,73,45,52,53,69,63,59,71,70165,13.2,11.4,9.2
184,D,NM,‘2013’,64,79,68,99,81,82,81,71,100,84,91,79,71,88,43872,18.6,21.9,10.7
185,E,NY,‘2013’,42,61,64,74,59,69,65,40,48,51,65,53,52,66,57369,10.7,16,10.6
186,E,NC,‘2013’,59,74,60,85,73,76,75,45,55,72,84,72,69,84,45906,15.6,17.9,11.4
187,E,ND,‘2013’,55,85,49,92,89,71,85,71,49,81,76,57,73,93,55759,10.4,11.8,8.9
188,E,OH,‘2013’,62,76,68,89,81,73,85,58,66,63,84,81,71,79,48081,11,16,10.4
189,E,OK,‘2013’,69,91,64,88,77,72,87,41,72,90,81,64,75,91,45690,17.7,16.8,11
190,E,OR,‘2013’,37,39,59,67,49,57,54,46,40,47,47,53,48,56,50251,14.7,16.7,9.2
191,E,PA,‘2013’,57,73,76,89,78,83,84,48,62,65,76,62,73,84,52007,9.7,13.7,10.1
192,E,RI,‘2013’,55,92,65,81,67,100,78,36,48,60,65,46,76,81,55902,11.6,14.3,9.3
193,F,SC,‘2013’,63,78,71,89,75,91,76,44,48,64,96,85,75,91,44163,15.8,18.6,12.5
194,F,SD,‘2013’,64,68,95,97,100,65,100,88,37,100,76,65,72,82,48947,11.3,14.2,9.1
195,F,TN,‘2013’,74,87,81,91,89,83,84,48,64,68,88,77,93,92,44297,13.9,17.8,12.2
